ID,Slide number(s),Type,Authors,Title,Source or venue,Year,DOI / arXiv / ISBN / URL,Original text from slide,Context,Completeness
R070,"Domke slides 68, 69",Software or code repository,Google,TensorFlow,FugakuNEXT Software Matrix,,https://www.tensorflow.org,https://www.tensorflow.org,Listed as AI/HPC software ecosystem component: TensorFlow.,Complete link
R071,"Domke slides 68, 69",Software or code repository,Apache Foundation,Apache MXNet,FugakuNEXT Software Matrix,,https://mxnet.apache.org/,https://mxnet.apache.org/,Listed as AI/HPC software ecosystem component: Apache MXNet.,Complete link
R072,"Domke slides 68, 69",Software or code repository,PaddlePaddle,PaddlePaddle,FugakuNEXT Software Matrix,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Listed as AI/HPC software ecosystem component: PaddlePaddle.,Complete link
R073,"Domke slides 68, 69",Website,Sony,NNABLA,FugakuNEXT Software Matrix,,https://nnabla.org,https://nnabla.org,Listed as AI/HPC software ecosystem component: NNABLA.,Complete link
R074,"Domke slides 68, 69",Software or code repository,Anyscale Inc.,RAY,FugakuNEXT Software Matrix,,https://www.ray.io,https://www.ray.io,Listed as AI/HPC software ecosystem component: RAY.,Complete link
R075,"Domke slides 68, 69",Software or code repository,Google,JAX,FugakuNEXT Software Matrix,,https://jax.readthedocs.io/en/latest/#,https://jax.readthedocs.io/en/latest/#,Listed as AI/HPC software ecosystem component: JAX.,Complete link
R076,"Domke slides 68, 69",Website,Colossal-AI,Colossal-AI,FugakuNEXT Software Matrix,,https://colossalai.org,https://colossalai.org,Listed as AI/HPC software ecosystem component: Colossal-AI.,Complete link
R077,"Domke slides 68, 69",Software or code repository,Google,Keras (TF),FugakuNEXT Software Matrix,,https://keras.io,https://keras.io,Listed as AI/HPC software ecosystem component: Keras (TF).,Complete link
R078,"Domke slides 68, 69",Website,Gluon,Gluon (MXNet),FugakuNEXT Software Matrix,,https://auto.gluon.ai/stable/index.html,https://auto.gluon.ai/stable/index.html,Listed as AI/HPC software ecosystem component: Gluon (MXNet).,Complete link
R079,"Domke slides 68, 69",Software or code repository,fast.ai,fastai,FugakuNEXT Software Matrix,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Listed as AI/HPC software ecosystem component: fastai.,Complete link
R080,"Domke slides 68, 69",Software or code repository,DGL,DGL,FugakuNEXT Software Matrix,,https://www.dgl.ai,https://www.dgl.ai,Listed as AI/HPC software ecosystem component: DGL.,Complete link
R081,"Domke slides 68, 69",Software or code repository,Lightning AI,Lightning,FugakuNEXT Software Matrix,,https://lightning.ai,https://lightning.ai,Listed as AI/HPC software ecosystem component: Lightning.,Complete link
R082,"Domke slides 68, 69",Software or code repository,Microsoft,DeepSpeed,FugakuNEXT Software Matrix,,https://www.deepspeed.ai,https://www.deepspeed.ai,Listed as AI/HPC software ecosystem component: DeepSpeed.,Complete link
R083,"Domke slides 68, 69",Software or code repository,Meta,PyTorch Geometric,FugakuNEXT Software Matrix,,https://pytorch-geometric.readthedocs.io,https://pytorch-geometric.readthedocs.io,Listed as AI/HPC software ecosystem component: PyTorch Geometric.,Complete link
R084,"Domke slides 68, 69",Software or code repository,DeepMind,Sonnet,FugakuNEXT Software Matrix,,https://sonnet.readthedocs.io/en/latest/#,https://sonnet.readthedocs.io/en/latest/#,Listed as AI/HPC software ecosystem component: Sonnet.,Complete link
R085,"Domke slides 68, 69",Software or code repository,Uber,Horovod,FugakuNEXT Software Matrix,,https://horovod.readthedocs.io/en/stable/,https://horovod.readthedocs.io/en/stable/,Listed as AI/HPC software ecosystem component: Horovod.,Complete link
R086,"Domke slides 68, 69",Website,NVIDIA,NCCL,FugakuNEXT Software Matrix,,https://developer.nvidia.com/nccl,https://developer.nvidia.com/nccl,Listed as AI/HPC software ecosystem component: NCCL.,Complete link
R087,"Domke slides 68, 69",Website,AMD,RCCL,FugakuNEXT Software Matrix,,https://rocm.docs.amd.com/projects/rccl/en/latest/,https://rocm.docs.amd.com/projects/rccl/en/latest/,Listed as AI/HPC software ecosystem component: RCCL.,Complete link
R088,"Domke slides 68, 69",Website,NVIDIA,cuDNN,FugakuNEXT Software Matrix,,https://developer.nvidia.com/cudnn,https://developer.nvidia.com/cudnn,Listed as AI/HPC software ecosystem component: cuDNN.,Complete link
R089,"Domke slides 68, 69",Software or code repository,Intel,oneDNN,FugakuNEXT Software Matrix,,https://oneapi-src.github.io/oneDNN/group_dnnl_api.html,https://oneapi-src.github.io/oneDNN/group_dnnl_api.html,Listed as AI/HPC software ecosystem component: oneDNN.,Complete link
R090,"Domke slides 68, 69",Software or code repository,AMD,hipDNN/MIOpen,FugakuNEXT Software Matrix,,https://github.com/ROCmSoftwarePlatform/hipDNN,https://github.com/ROCmSoftwarePlatform/hipDNN,Listed as AI/HPC software ecosystem component: hipDNN/MIOpen.,Complete link
R091,"Domke slides 68, 69",Software or code repository,LIBXSMM,LIBXSMM,FugakuNEXT Software Matrix,,https://libxsmm.readthedocs.io,https://libxsmm.readthedocs.io,Listed as AI/HPC software ecosystem component: LIBXSMM.,Complete link
R092,"Domke slides 68, 69",Software or code repository,Preferred Networks,CUPy,FugakuNEXT Software Matrix,,https://cupy.dev,https://cupy.dev,Listed as AI/HPC software ecosystem component: CUPy.,Complete link
R093,"Domke slides 68, 69",Software or code repository,Hugging Face,Hugging Face,FugakuNEXT Software Matrix,,https://huggingface.co,https://huggingface.co,Listed as AI/HPC software ecosystem component: Hugging Face.,Complete link
R094,"Domke slides 68, 69",Software or code repository,Google,Keras Applications,FugakuNEXT Software Matrix,,https://keras.io/api/applications/,https://keras.io/api/applications/,Listed as AI/HPC software ecosystem component: Keras Applications.,Complete link
R095,"Domke slides 68, 69",Software or code repository,Meta/Microsoft,ONNX,FugakuNEXT Software Matrix,,https://onnx.ai,https://onnx.ai,Listed as AI/HPC software ecosystem component: ONNX.,Complete link
R096,"Domke slides 68, 69",Website,Intel,SigOpt,FugakuNEXT Software Matrix,,https://sigopt.com,https://sigopt.com,Listed as AI/HPC software ecosystem component: SigOpt.,Complete link
R097,"Domke slides 68, 69",Website,Determined AI,Determined AI,FugakuNEXT Software Matrix,,https://www.determined.ai,https://www.determined.ai,Listed as AI/HPC software ecosystem component: Determined AI.,Complete link
R098,"Domke slides 68, 69",Software or code repository,Preferred Networks,Optuna,FugakuNEXT Software Matrix,,https://optuna.org,https://optuna.org,Listed as AI/HPC software ecosystem component: Optuna.,Complete link
R099,"Domke slides 68, 69",Software or code repository,Apache Foundation,Apache TVM,FugakuNEXT Software Matrix,,https://tvm.apache.org,https://tvm.apache.org,Listed as AI/HPC software ecosystem component: Apache TVM.,Complete link
R100,"Domke slides 68, 69",Website,Comet ML Inc.,Comet,FugakuNEXT Software Matrix,,https://www.comet.com/site/,https://www.comet.com/site/,Listed as AI/HPC software ecosystem component: Comet.,Complete link
R101,"Domke slides 68, 69",Website,Neptune Labs,Neptune,FugakuNEXT Software Matrix,,https://neptune.ai,https://neptune.ai,Listed as AI/HPC software ecosystem component: Neptune.,Complete link
R102,"Domke slides 68, 69",Software or code repository,MLflow Project,MLflow,FugakuNEXT Software Matrix,,https://mlflow.org,https://mlflow.org,Listed as AI/HPC software ecosystem component: MLflow.,Complete link
R103,"Domke slides 68, 69",Software or code repository,Google,TensorBoard,FugakuNEXT Software Matrix,,https://www.tensorflow.org/tensorboard,https://www.tensorflow.org/tensorboard,Listed as AI/HPC software ecosystem component: TensorBoard.,Complete link
R104,"Domke slides 68, 69",Software or code repository,IDSIA,sacred,FugakuNEXT Software Matrix,,https://github.com/IDSIA/sacred,https://github.com/IDSIA/sacred,Listed as AI/HPC software ecosystem component: sacred.,Complete link
R105,"Domke slides 68, 69",Software or code repository,Weights & Biases,Weights & Biases,FugakuNEXT Software Matrix,,https://wandb.ai/,https://wandb.ai/,Listed as AI/HPC software ecosystem component: Weights & Biases.,Complete link
R106,"Domke slides 68, 69",Software or code repository,Slurm,Slurm,FugakuNEXT Software Matrix,,https://slurm.schedmd.com/documentation.html,https://slurm.schedmd.com/documentation.html,Listed as AI/HPC software ecosystem component: Slurm.,Complete link
R107,Domke slide 75,Other,Tal Ben-Nun; Anshu Dubey; Mohamed Wahib; Erik Draeger,Unifying Framework to Enable Artificial Intelligence in HPC Workflows,Not available on slide,,,"Tal Ben-Nun, Anshu Dubey, Mohamed Wahib, Erik Draeger “Unifying Framework to Enable Artificial Intelligence in HPC Workflows”",Supports design-space discussion for HPC/AI hybrid workflows.,Unclear
R108,Domke slide 98,Website,Satoshi Matsuoka; Jens Domke,Life after Fugaku: What Have We Learned and How Do We Proceed as the End of Moore’s Law Approaches?,SIAM News,,,"Satoshi Matsuoka and Jens Domke ""Life after Fugaku: What Have We Learned and How Do We Proceed as the End of Moore’s Law Approaches?“ in SIAM News",Background on future heterogeneous HPC design.,Missing link
R109,Domke slide 111,Website,RIKEN / R-CCS / HPCI / YouTube,RIKEN R-CCS labs and positions,Website,,www.riken.jp/en/research/labs/r-ccs/,www.riken.jp/en/research/labs/r-ccs/,"Jobs, collaboration, tour, and compute-access information.",Partial link
R110,Domke slide 111,Website,Not available on slide,RCCS jobs short link,Website,,tinyurl.com/RCCSjobs,tinyurl.com/RCCSjobs,"Jobs, collaboration, tour, and compute-access information.",Partial link
R111,Domke slide 111,Website,Not available on slide,SPR Team job short link,Website,,tinyurl.com/SPRTjob1,tinyurl.com/SPRTjob1,"Jobs, collaboration, tour, and compute-access information.",Partial link
R112,Domke slide 111,Website,RIKEN / R-CCS / HPCI / YouTube,RIKEN fellowship programs,Website,,www.riken.jp/en/careers/programs/index.html,www.riken.jp/en/careers/programs/index.html,"Jobs, collaboration, tour, and compute-access information.",Partial link
R113,Domke slide 111,Website,RIKEN / R-CCS / HPCI / YouTube,R-CCS internship,Website,,www.r-ccs.riken.jp/en/about/careers/internship/,www.r-ccs.riken.jp/en/about/careers/internship/,"Jobs, collaboration, tour, and compute-access information.",Partial link
R114,Domke slide 111,Website,RIKEN / R-CCS / HPCI / YouTube,Fugaku 3D models / virtual tour,Website,,www.r-ccs.riken.jp/en/fugaku/3d-models/,www.r-ccs.riken.jp/en/fugaku/3d-models/,"Jobs, collaboration, tour, and compute-access information.",Partial link
R115,Domke slide 111,Website,RIKEN / R-CCS / HPCI / YouTube,Fugaku YouTube tour,Website,,www.youtube.com/watch?v=f3cx4PGDGmg,www.youtube.com/watch?v=f3cx4PGDGmg,"Jobs, collaboration, tour, and compute-access information.",Partial link
R116,Domke slide 111,Website,RIKEN / R-CCS / HPCI / YouTube,Fugaku user guide,Website,,www.r-ccs.riken.jp/en/fugaku/user-guide/,www.r-ccs.riken.jp/en/fugaku/user-guide/,"Jobs, collaboration, tour, and compute-access information.",Partial link
R117,Domke slide 111,Website,RIKEN / R-CCS / HPCI / YouTube,HPCI Fugaku trial proposal submission,Website,,www.hpci-office.jp/en/using_hpci/proposal_submission_current/fugaku_trial,www.hpci-office.jp/en/using_hpci/proposal_submission_current/fugaku_trial,"Jobs, collaboration, tour, and compute-access information.",Partial link
R118,Aumueller-Malheiros slide 12,Website,Vistle project,Vistle documentation,Vistle,,https://vistle.io/,Documentation: https://vistle.io/,Documentation for visualization software.,Complete link
R119,Aumueller-Malheiros slide 12,Website,Not available on slide,Vistle Part I: An Introduction to Immersive Visualizations of Large-Scale Scientific Data,Webinar recording,,,Webinar recording: “Vistle Part I: An Introduction to Immersive Visualizations of Large-Scale Scientific Data”,Further reading/video.,Missing link
R120,Aumueller-Malheiros slide 12,Website,Not available on slide,3rd CEEC Community Workshop – Hands-On Vistle Part II,Hands-on workshop recording,,,Hands-on workshop recording: “3rd CEEC Community Workshop – Hands-On Vistle Part II”,Further reading/video.,Missing link
R121,Nicolai slide 11,Technical report,International Energy Agency,World Energy Outlook 2023,IEA,2023,,[1] IEA 2023; World Energy Outlook 2023; INTERNATIONAL ENERGY AGENCY – WORLD ENERGY OUTLOOK 2023,Supports energy-transition context.,Missing link
R122,Nicolai slide 12,Website,Bosch,Press release,Bosch,2023,,[1] Bosch (2023) Press release 28.03.2023,Industrial hydrogen-combustion background.,Missing link
R123,Nicolai slide 12,Website,Rolls-Royce plc.,Press release,Rolls-Royce plc.,2022,,"[2] Rolls-Royce plc. (2022), Press release, 28.11.2022",Industrial hydrogen-combustion background.,Missing link
R124,Nicolai slide 12,Website,Siemens Energy,Press release,Siemens Energy,2023,,"[3] Siemens Energy (2023) Press release, 05.2023",Industrial hydrogen-combustion background.,Missing link
R125,Nicolai slide 13,Website,E&E News,xAI Memphis turbines,E&E News,,,[1] E&E News — xAI Memphis turbines,Supports discussion of datacenter on-site turbines.,Missing link
R126,Nicolai slide 13,Website,Power Engineering,Meta onsite gas turbines,Power Engineering,,,[2] Power Engineering — Meta onsite gas turbines,Supports discussion of datacenter on-site turbines.,Missing link
R127,Nicolai slide 13,Website,Power Magazine,data centers turning to gas generators,Power Magazine,,,[3] Power Magazine — data centers turning to gas generators,Supports discussion of datacenter on-site turbines.,Missing link
R128,Nicolai slide 13,Website,Kroll,gas turbines and the data center surge,Kroll,,,[4] Kroll — gas turbines and the data center surge,Supports discussion of datacenter power demand.,Missing link
R129,Nicolai slide 13,Other,Southern Environmental Law Center,Thermal image of xAI facility turbines,Southern Environmental Law Center,2025,,Courtesy Southern Environmental Law Center,Image credit for xAI facility turbine photo.,Missing link
R130,Nicolai slide 14,Journal paper,Berger et al.,Not available on slide,Proceedings of the Combustion Institute 37,2019,,Berger et al. (2019). Proc. Combust. Inst. 37,Supports thermodiffusive instability discussion.,Unclear
R131,Nicolai slide 15,Journal paper,Berger et al.,Not available on slide,Proceedings of the Combustion Institute 40,2024,,Berger et al. (2024). Proc Combust Inst 40.,Supports parametric DNS variation discussion.,Unclear
R132,Nicolai slide 16,Journal paper,Shi,Not available on slide,Combustion and Flame,2024,,"Shi, Combust. Flame (2024)",Compares experiment and DNS.,Unclear
R133,"Nicolai slides 22, 23",Dataset,TOP500,TOP500 list,TOP500.org,2025,www.top500.org,"www.top500.org, Nov 2025; [1] www.top500.org",Source for GPU adoption/top-supercomputer statistics.,Partial link
R134,Nicolai slide 24,Conference paper,McCalpin,SC16 invited talk,SC16,2016,,[1] McCalpin (2016). SC16 Invited Talk.,Supports system balance asymmetry discussion.,Missing link
R135,Nicolai slide 25,Website,NVIDIA,NVIDIA product information,NVIDIA,,www.nvidia.com,www.nvidia.com,Hardware specification source.,Partial link
R136,Nicolai slide 25,Website,AMD,AMD product information,AMD,,www.amd.com,www.amd.com,Hardware specification source.,Partial link
R137,Nicolai slide 29,Journal paper,Paul Fischer et al.,"NekRS, a GPU-accelerated spectral element Navier–Stokes solver",Parallel Computing 114,2022,,"Fischer, Paul, et al. ""NekRS, a GPU-accelerated spectral element Navier–Stokes solver."" Parallel Computing 114 (2022): 102982.",Supports nekRS flow solver.,Missing link
R138,Nicolai slide 29,Preprint,David S. Medina; Amik St-Cyr; Tim Warburton,OCCA: A unified approach to multi-threading languages,arXiv,2014,arXiv:1403.0968,"Medina, David S., Amik St-Cyr, and Tim Warburton. ""OCCA: A unified approach to multi-threading languages."" arXiv preprint arXiv:1403.0968 (2014).",Supports OCCA backend portability.,Complete link
R139,Nicolai slide 33,Preprint,Stefan Kerkemeier et al.,nekCRF: A next generation high-order reactive low Mach flow solver for direct numerical simulations,arXiv,2024,arXiv:2409.06404,"Kerkemeier, Stefan, et al. ""nekCRF: A next generation high-order reactive low Mach flow solver for direct numerical simulations."" arXiv preprint arXiv:2409.06404 (2024).",Main nekCRF solver reference.,Complete link
R140,Nicolai slide 33,Journal paper,Hendrik Nicolai et al.,Laminar and turbulent hydrogen-enriched methane flames: Interaction of thermodiffusive instabilities and local fuel demixing,Proceedings of the Combustion Institute 41,2025,,"Nicolai, Hendrik, et al. ""Laminar and turbulent hydrogen-enriched methane flames: Interaction of thermodiffusive instabilities and local fuel demixing."" Proceedings of the Combustion Institute 41 (2025): 105885..",Application result for hydrogen-enriched methane flames.,Missing link
R141,Nicolai slide 44,Software or code repository,Ascent project,Ascent documentation,Read the Docs,,https://ascent.readthedocs.io/en/latest/,[1] https://ascent.readthedocs.io/en/latest/,Software used for in situ visualization/rendering.,Complete link
R142,Engels slide 4,Other,Ziemen,Not available on slide,Not available on slide,,,Ziemen,Image/slide credit for high-resolution motivation.,Unclear
R143,"Engels slides 6, 7",Other,Daniel Klocke,Not available on slide,Not available on slide,,,Based on a slide by Daniel Klocke,Slide credit for Earth-system coupling and throughput concepts.,Unclear
R144,Engels slide 8,Other,Lee and Hohenegger,Not available on slide,Not available on slide,,,Lee and Hohenegger,Source credit for land water-carbon link example.,Unclear
R145,Engels slide 9,Website,ICON Partnership,ICON model,ICON,,https://icon-model.org,https://icon-model.org,Software/model website for ICON.,Complete link
R146,Engels slide 10,Technical report,DWD / ICON tutorial authors,ICON tutorial 2025,DWD,2025,DOI: 10.5676/DWD_pub/nwv/icon_tutorial2025,DOI: 10.5676/DWD pub/nwv/icon tutorial2025,DOI for ICON tutorial source.,Complete link
R147,"Engels slides 10, 17, 18, 20, 23",Other,Klocke et al.,Not available on slide,Not available on slide,,,Klocke et al.,Source credit for ICON internals and production-at-scale slides.,Unclear
R148,Engels slides 12-15,Other,Plehn et al.,Not available on slide,Not available on slide,,,Plehn et al.,Source credit for architecture/heterogeneity results.,Unclear
R149,Engels slide 19,Conference paper,Ben-Nun; de Fine Licht; Ziogas; Schneider; Hoefler,Stateful Dataflow Multigraphs: A Data-Centric Model for High-Performance Parallel Programs,SC19,,,"Ben-Nun, de Fine Licht, Ziogas, Schneider, Hoefler: Stateful Dataflow Multigraphs: A Data-Centric Model for High-Performance Parallel Programs, SC19",Supports DaCe/SDFG performance metaprogramming.,Missing link
R150,Engels slide 26,Journal paper,Not available on slide,Not available on slide,Geoscientific Model Development,2022,https://doi.org/10.5194/gmd-15-9157-2022,"https://doi.org/10.5194/gmd-15-9157-2022, CC BY 4.0",Source for ocean model/mesh material under CC BY.,Complete link
R151,Engels slide 30,Other,D. Klocke; C. Frauen; J. F. Engels; D. Alexeev; R. Redler; R. Schnur; H. Haak; L. Kornblueh; N. Brüggemann; F. Chegini; M. Römmer; L. Hoffmann; S. Griessbach; M. Bode; J. Coles; M. Gila; W. Sawyer; A. Calotoiu; Y. Budanaz; P. Mazumder; M. Copik; B. Weber; A. Herten; H. Bockelmann; T. Hoefler; C. Hohenegger; B. Stevens,Computing the Full Earth System at 1km Resolution,Not available on slide,,,"D. Klocke, C. Frauen, J. F. Engels, D. Alexeev, R. Redler, R. Schnur, H. Haak, L. Kornblueh, N. Brüggemann, F. Chegini, M. Römmer, L. Hoffmann, S. Griessbach, M. Bode, J. Coles, M. Gila, W. Sawyer, A. Calotoiu, Y. Budanaz, P. Mazumder, M. Copik, B. Weber, A. Herten, H. Bockelmann, T. Hoefler, C. Hohenegger, and B. Stevens. – Computing the Full Earth System at 1km Resolution",Research work cited in closing slide.,Unclear
R152,Engels slide 30,Other,J. Plehn; C. von Elm; P. Giesselmann; C. Clauss; H. Bockelmann; R. Schöne; J. F. Engels,Improving Energy Efficiency and Performance of Weather and Climate Simulations by Leveraging the Heterogeneity of Modern Systems,Not available on slide,,,"J. Plehn, C. von Elm, P. Giesselmann, C. Clauss, H. Bockelmann, R. Schöne, and J. F. Engels – Improving Energy Efficiency and Performance of Weather and Climate Simulations by Leveraging the Heterogeneity of Modern Systems",Research work cited in closing slide.,Unclear
R153,"Klemm slides 1, 15, 23",Standard or specification,OpenMP Architecture Review Board,OpenMP API,OpenMP ARB,,,Hands-on Session on the OpenMP® API; OpenMP® can be used to run your code on GPUs; OpenMP 4.0 supports accelerators/coprocessors,Standardized programming model used for CPU and GPU offload.,Missing link
R154,Domke slide 68,Standard or specification,UXL Foundation / SYCL community,SYCL language,SYCL specification,,,"*1 “SYCL” exclusively to refer to the language, and “DPC++” to refer to Intel’s compiler",Programming-language standard referenced in software matrix.,Missing link
R155,Domke slide 68,Standard or specification,UXL Foundation,oneDPL specification,UXL Foundation,,,"*2: oneDPL, oneDNN, Level Zero and oneMKL are all UXL Foundation specifications.",Specification listed for accelerator software stack.,Missing link
R156,Domke slide 68,Standard or specification,UXL Foundation,oneDNN specification,UXL Foundation,,https://oneapi-src.github.io/oneDNN/group_dnnl_api.html,"*2: oneDPL, oneDNN, Level Zero and oneMKL are all UXL Foundation specifications.",Specification/library listed for backend primitives.,Complete link
R157,Domke slide 68,Standard or specification,UXL Foundation,Level Zero specification,UXL Foundation,,,"*2: oneDPL, oneDNN, Level Zero and oneMKL are all UXL Foundation specifications.",Specification listed for accelerator runtime/backend.,Missing link
R158,Domke slide 68,Standard or specification,UXL Foundation,oneMKL specification,UXL Foundation,,,"*2: oneDPL, oneDNN, Level Zero and oneMKL are all UXL Foundation specifications.",Specification listed for math library backend.,Missing link
R159,Domke slide 68,Standard or specification,ISO,ISO Fortran,ISO,,,ISO Fortran,Programming-language standard listed in software matrix.,Missing link
R160,Domke slide 68,Standard or specification,ISO,ISO C++ / std::execution,ISO,,,ISO C++ (std::execution),Programming-language standard listed in software matrix.,Missing link
